POWER,ENERGY,VOLTAGE,CURRENT,HUMIDITY,TEMPRATURE,TIME,d_id,date,date1
0.38,6.909090909,103,0.85,60,22.78571429,230.3947368,d1,20170510,2017-05-10
0.39,7.025454545,103,0.85,60,22.60714286,224.4871795,d1,20170511,2017-05-11
0.38,7.141818182,103,0.84,60,22.42857143,227.6842105,d1,20170512,2017-05-12
0.39,7.258181818,103,0.85,60,22.25,224.4871795,d1,20170513,2017-05-13
0.39,7.374545455,103,0.85,60,22.07142857,224.4871795,d1,20170514,2017-05-14
0.38,7.490909091,103,0.84,60,21.89285714,227.6842105,d1,20170515,2017-05-15
0.38,7.607272727,103,0.85,60,21.71428571,230.3947368,d1,20170516,2017-05-16
0.39,7.723636364,103,0.85,60,21.53571429,224.4871795,d1,20170517,2017-05-17
0.38,7.84,103,0.85,60,21.35714286,230.3947368,d1,20170518,2017-05-18
0.37,7.956363636,103,0.85,60,21.17857143,236.6216216,d1,20170519,2017-05-19
0.39,8.072727273,103,0.86,60,21,227.1282051,d1,20170520,2017-05-20
0.37,8.189090909,103,0.84,60,20.82142857,233.8378378,d1,20170521,2017-05-21
0.38,8.305454545,103,0.84,60,20.64285714,227.6842105,d1,20170522,2017-05-22
0.39,11.44727273,103,0.85,60,20.46428571,224.4871795,d1,20170523,2017-05-23
0.37,11.56363636,103,0.84,60,20.28571429,233.8378378,d1,20170524,2017-05-24
0.37,11.68,103,0.83,60,20.10714286,231.0540541,d1,20170525,2017-05-25
0.38,4.2,103,0.85,60,19.92857143,230.3947368,d1,20170526,2017-05-26
0.38,7.1,103,0.84,60,19.75,227.6842105,d1,20170527,2017-05-27
0.37,3.6,103,0.84,60,19.57142857,233.8378378,d1,20170528,2017-05-28
0.38,8.2,103,0.85,60,19.39285714,230.3947368,d1,20170529,2017-05-29
0.37,5.8,103,0.84,60,19.21428571,233.8378378,d1,20170530,2017-05-30
0.37,9.2,103,0.84,60,19.03571429,233.8378378,d1,20170531,2017-05-31
0.39,1,103,0.86,60,18.85714286,227.1282051,d1,20170601,2017-06-01
0.37,7.1,103,0.84,60,18.67857143,233.8378378,d1,20170602,2017-06-02
0.38,4.8,103,0.84,60,18.5,227.6842105,d1,20170603,2017-06-03
0.39,8.2,103,0.85,60,18.32142857,224.4871795,d1,20170604,2017-06-04
0.37,6.56,103,0.84,60,18.14285714,233.8378378,d1,20170605,2017-06-05
0.37,6.676363636,103,0.84,60,17.96428571,233.8378378,d1,20170606,2017-06-06
0.39,6.792727273,103,0.85,60,17.78571429,224.4871795,d1,20170607,2017-06-07
0.37,6.909090909,103,0.84,60,17.60714286,233.8378378,d1,20170608,2017-06-08
0.37,7.025454545,103,0.84,60,17.42857143,233.8378378,d1,20170609,2017-06-09
0.38,7.141818182,103,0.85,60,17.25,230.3947368,d1,20170610,2017-06-10
0.37,7.258181818,103,0.84,60,17.07142857,233.8378378,d1,20170611,2017-06-11
0.37,7.374545455,103,0.84,61,16.89285714,233.8378378,d1,20170612,2017-06-12
0.39,7.490909091,103,0.85,61,16.71428571,224.4871795,d1,20170613,2017-06-13
0.38,7.607272727,103,0.85,61,16.53571429,230.3947368,d1,20170614,2017-06-14
0.38,7.723636364,103,0.84,60,16.35714286,227.6842105,d1,20170615,2017-06-15
0.39,7.84,103,0.85,60,16.17857143,224.4871795,d1,20170616,2017-06-16
0.37,7.956363636,103,0.84,60,16,233.8378378,d1,20170617,2017-06-17
0.37,8.072727273,103,0.84,60,15.82142857,233.8378378,d1,20170618,2017-06-18
0.39,8.189090909,103,0.85,60,15.64285714,224.4871795,d1,20170619,2017-06-19
0.38,8.305454545,103,0.84,60,15.46428571,227.6842105,d1,20170620,2017-06-20
0.36,14.82181818,103,0.84,60,15.28571429,240.3333333,d1,20170621,2017-06-21
0.38,14.93818182,103,0.85,60,15.10714286,230.3947368,d1,20170622,2017-06-22
0.38,15.05454545,103,0.85,60,14.92857143,230.3947368,d1,20170623,2017-06-23
0.37,15.17090909,103,0.84,60,14.75,233.8378378,d1,20170624,2017-06-24
0.39,15.28727273,103,0.85,60,14.57142857,224.4871795,d1,20170625,2017-06-25
0.37,15.40363636,103,0.84,60,14.39285714,233.8378378,d1,20170626,2017-06-26
0.38,15.52,103,0.85,60,14.21428571,230.3947368,d1,20170627,2017-06-27
0.39,15.63636364,103,0.86,60,14.03571429,227.1282051,d1,20170628,2017-06-28
0.37,15.75272727,103,0.84,60,13.85714286,233.8378378,d1,20170629,2017-06-29
0.37,15.86909091,103,0.83,60,13.67857143,231.0540541,d1,20170630,2017-06-30
0.38,15.98545455,103,0.85,60,13.5,230.3947368,d1,20170701,2017-07-01
0.37,16.10181818,103,0.84,60,13.32142857,233.8378378,d1,20170702,2017-07-02
0.37,16.21818182,103,0.84,60,13.14285714,233.8378378,d1,20170703,2017-07-03
0.38,16.33454545,103,0.85,60,12.96428571,230.3947368,d1,20170704,2017-07-04
0.38,16.45090909,103,0.84,60,12.78571429,227.6842105,d1,20170705,2017-07-05
0.36,16.56727273,103,0.84,60,12.60714286,240.3333333,d1,20170706,2017-07-06
0.39,16.68363636,103,0.85,60,12.42857143,224.4871795,d1,20170707,2017-07-07
0.37,16.8,103,0.83,60,12.25,231.0540541,d1,20170708,2017-07-08
0.36,16.91636364,103,0.83,60,12.07142857,237.4722222,d1,20170709,2017-07-09
0.39,17.03272727,103,0.86,60,11.89285714,227.1282051,d1,20170710,2017-07-10
0.38,17.14909091,103,0.85,60,11.71428571,230.3947368,d1,20170711,2017-07-11
0.37,17.26545455,103,0.84,60,11.53571429,233.8378378,d1,20170712,2017-07-12
0.38,17.38181818,103,0.85,60,11.35714286,230.3947368,d1,20170713,2017-07-13
0.36,17.49818182,103,0.83,60,11.17857143,237.4722222,d1,20170714,2017-07-14
0.37,17.61454545,103,0.85,60,11,236.6216216,d1,20170715,2017-07-15
0.38,17.73090909,103,0.85,60,10.82142857,230.3947368,d1,20170716,2017-07-16
0.37,17.84727273,103,0.84,60,10.64285714,233.8378378,d1,20170717,2017-07-17
0.37,17.96363636,103,0.83,60,10.46428571,231.0540541,d1,20170718,2017-07-18
0.37,18.08,103,0.85,60,10.28571429,236.6216216,d1,20170719,2017-07-19
0.37,18.19636364,103,0.85,60,10.10714286,236.6216216,d1,20170720,2017-07-20
0.37,18.31272727,103,0.84,60,9.928571429,233.8378378,d1,20170721,2017-07-21
0.38,18.42909091,103,0.85,60,9.75,230.3947368,d1,20170722,2017-07-22
0.37,18.54545455,103,0.84,60,9.571428571,233.8378378,d1,20170723,2017-07-23
0.37,18.66181818,103,0.85,60,9.392857143,236.6216216,d1,20170724,2017-07-24
0.38,18.77818182,103,0.85,60,9.214285714,230.3947368,d1,20170725,2017-07-25
0.38,18.89454545,103,0.84,60,9.035714286,227.6842105,d1,20170726,2017-07-26
0.36,19.01090909,103,0.84,60,8.857142857,240.3333333,d1,20170727,2017-07-27
0.38,19.12727273,103,0.86,60,8.678571429,233.1052632,d1,20170728,2017-07-28
0.37,19.24363636,103,0.85,60,8.5,236.6216216,d1,20170729,2017-07-29
0.37,19.36,103,0.85,60,8.321428571,236.6216216,d1,20170730,2017-07-30
0.39,19.47636364,103,0.86,60,8.142857143,227.1282051,d1,20170731,2017-07-31
0.38,19.59272727,103,0.84,60,7.964285714,227.6842105,d1,20170801,2017-08-01
0.38,19.70909091,103,0.84,60,7.785714286,227.6842105,d1,20170802,2017-08-02
0.39,19.82545455,103,0.85,60,7.607142857,224.4871795,d1,20170803,2017-08-03
0.38,19.94181818,103,0.84,60,7.428571429,227.6842105,d1,20170804,2017-08-04
0.37,20.05818182,103,0.84,60,7.25,233.8378378,d1,20170805,2017-08-05
0.39,20.17454545,103,0.86,60,7.071428571,227.1282051,d1,20170806,2017-08-06
0.39,20.29090909,103,0.85,60,6.892857143,224.4871795,d1,20170807,2017-08-07
0.39,20.40727273,103,0.85,60,6.714285714,224.4871795,d1,20170808,2017-08-08
0.38,20.52363636,103,0.86,60,6.535714286,233.1052632,d1,20170809,2017-08-09
0.38,20.64,103,0.85,60,6.357142857,230.3947368,d1,20170810,2017-08-10
0.37,20.75636364,103,0.85,60,6.178571429,236.6216216,d1,20170811,2017-08-11
0.39,20.87272727,103,0.85,60,6,224.4871795,d1,20170812,2017-08-12
0.38,20.98909091,103,0.84,60,5.821428571,227.6842105,d1,20170813,2017-08-13
0.37,21.10545455,103,0.85,60,5.642857143,236.6216216,d1,20170814,2017-08-14
0.39,21.22181818,103,0.85,60,5.464285714,224.4871795,d1,20170815,2017-08-15
0.37,21.33818182,103,0.84,60,5.285714286,233.8378378,d1,20170816,2017-08-16
0.37,21.45454545,103,0.84,60,5.107142857,233.8378378,d1,20170817,2017-08-17
0.38,21.57090909,103,0.85,60,4.928571429,230.3947368,d1,20170818,2017-08-18
0.37,21.68727273,103,0.84,60,4.75,233.8378378,d1,20170819,2017-08-19
0.37,21.80363636,103,0.84,60,4.571428571,233.8378378,d1,20170820,2017-08-20
0.38,21.92,103,0.86,60,4.392857143,233.1052632,d1,20170821,2017-08-21
0.38,22.03636364,103,0.85,60,4.214285714,230.3947368,d1,20170822,2017-08-22
0.38,22.15272727,103,0.85,60,4.035714286,230.3947368,d1,20170823,2017-08-23
0.38,22.26909091,103,0.86,60,3.857142857,233.1052632,d1,20170824,2017-08-24
0.37,22.38545455,103,0.84,60,3.678571429,233.8378378,d1,20170825,2017-08-25
0.38,22.50181818,103,0.85,60,3.5,230.3947368,d1,20170826,2017-08-26
0.38,22.61818182,103,0.86,60,3.321428571,233.1052632,d1,20170827,2017-08-27
0.38,22.73454545,103,0.85,60,3.142857143,230.3947368,d1,20170828,2017-08-28
0.37,22.85090909,103,0.85,60,2.964285714,236.6216216,d1,20170829,2017-08-29
0.38,22.96727273,103,0.86,60,2.785714286,233.1052632,d1,20170830,2017-08-30
0.37,23.08363636,103,0.85,60,2.607142857,236.6216216,d1,20170831,2017-08-31
0.38,23.2,103,0.85,60,2.428571429,230.3947368,d1,20170901,2017-09-01
0.39,23.31636364,103,0.86,60,2.25,227.1282051,d1,20170902,2017-09-02
0.38,23.43272727,103,0.85,60,2.071428571,230.3947368,d1,20170903,2017-09-03
0.38,23.54909091,103,0.85,60,1.892857143,230.3947368,d1,20170904,2017-09-04
0.39,7,103,0.86,60,1.714285714,227.1282051,d1,20170905,2017-09-05
0.38,8.4,103,0.85,60,1.535714286,230.3947368,d1,20170906,2017-09-06
0.38,6.7,103,0.85,60,1.357142857,230.3947368,d1,20170907,2017-09-07
0.39,7.2,103,0.86,60,1.178571429,227.1282051,d1,20170908,2017-09-08
0.38,4.6,103,0.85,60,1,230.3947368,d1,20170909,2017-09-09
0.38,29.4,103,0.85,60,0.821428571,230.3947368,d1,20170910,2017-09-10
0.39,10.5,103,0.86,60,0.642857143,227.1282051,d1,20170911,2017-09-11
0.38,11.5,103,0.85,60,0.464285714,230.3947368,d1,20170912,2017-09-12
0.38,12.4,103,0.85,60,0.285714286,230.3947368,d1,20170913,2017-09-13
0.38,10.3,103,0.86,60,0.107142857,233.1052632,d1,20170914,2017-09-14
0.38,2.9,103,0.85,60,0.071428571,230.3947368,d1,20170915,2017-09-15
0.38,5.7,103,0.85,60,0.25,230.3947368,d1,20170916,2017-09-16
0.39,11.5,103,0.86,60,0.428571429,227.1282051,d1,20170917,2017-09-17
0.38,12.4,103,0.85,60,0.607142857,230.3947368,d1,20170918,2017-09-18
0.38,10.3,103,0.85,60,0.785714286,230.3947368,d1,20170919,2017-09-19
0.39,2.9,103,0.86,60,0.964285714,227.1282051,d1,20170920,2017-09-20
0.38,5.7,103,0.86,60,1.142857143,233.1052632,d1,20170921,2017-09-21
0.38,11.5,103,0.85,60,1.321428571,230.3947368,d1,20170922,2017-09-22
0.39,12.4,103,0.86,60,1.5,227.1282051,d1,20170923,2017-09-23
0.38,10.3,103,0.85,60,1.678571429,230.3947368,d1,20170924,2017-09-24
0.38,2.9,103,0.85,61,1.857142857,230.3947368,d1,20170925,2017-09-25
0.39,5.7,103,0.86,61,2.035714286,227.1282051,d1,20170926,2017-09-26
